Provider,Category,Internal ID (Rust),API Model ID,Display Name,Context Window,Input ($/1M tokens),Output ($/1M tokens),Cached ($/1M tokens),Per Unit Price,Price Unit,RPM,Margin,Route,Notes
# ── xAI (30% margin) ────────────────────────────────────────────────────────
xAI,Text,—,grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,2M,$0.20,$0.50,$0.05,—,—,480,1.30,direct,Core — always available; reasoning mode; >200k: $0.40/$1.00 input/output; aliases: grok-4-1-fast, grok-4-1-fast-reasoning-latest
xAI,Text,—,grok-4-1-fast-non-reasoning,Grok 4.1 Fast,2M,$0.20,$0.50,$0.05,—,—,480,1.30,direct,Core — always available; sub-agent default; >200k: $0.40/$1.00 input/output; alias: grok-4-1-fast-non-reasoning-latest
xAI,Text,—,grok-4.20-multi-agent-beta-0309,Grok 4.20 Multi-Agent,2M,$2.00,$6.00,$0.20,—,—,607,1.30,direct,Multi-agent variant; >200k: $4.00/$12.00 input/output, $0.20 cached
xAI,Text,—,grok-4.20-beta-0309-reasoning,Grok 4.20 Reasoning,2M,$2.00,$6.00,$0.20,—,—,607,1.30,direct,Reasoning mode; >200k: $4.00/$12.00 input/output, $0.20 cached
xAI,Text,—,grok-4.20-beta-0309-non-reasoning,Grok 4.20 Fast,2M,$2.00,$6.00,$0.20,—,—,607,1.30,direct,Non-reasoning; >200k: $4.00/$12.00 input/output, $0.20 cached
xAI,Text,—,grok-code-fast-1,Grok Code Fast,256K,$0.20,$1.50,—,—,—,480,1.30,direct,Core — always available
xAI,Image,xai_imagine_pro,grok-imagine-image-pro,Imagine Pro,—,—,—,—,$0.07,per image,30,1.30,direct,Core
xAI,Image,xai_imagine,grok-imagine-image,Imagine,—,—,—,—,$0.02,per image,300,1.30,direct,Core
# xAI,Image,xai,grok-2-image-1212,Grok 2 Image,—,—,—,—,$0.07,per image,300,1.30,direct,RETIRED — 404 from xAI as of 2026-04-01
xAI,Video,grok_video,grok-imagine-video,Imagine Video,—,—,—,—,$0.05,per second,60,1.30,direct,Core
xAI,Structured,xai_grok_41_fast,grok-4-1-fast-non-reasoning,Grok 4.1 Fast (Structured),—,—,—,—,—,—,—,1.00,direct,Core; used in structured output panel
xAI,Structured,xai_grok_41_reasoning,grok-4-1-fast-reasoning,Grok 4.1 Reasoning (Structured),—,—,—,—,—,—,—,1.00,direct,Core; used in structured output panel
xAI,Structured,xai_grok_code,grok-code-fast-1,Grok Code (Structured),—,—,—,—,—,—,—,1.00,direct,Core; used in structured output panel
# Grok via Vertex AI Model Garden (MaaS — OpenAI-compat endpoint, GCP token auth)
xAI,Text,—,xai/grok-4.20-non-reasoning,Grok 4.20 (Vertex),2M,$2.00,$6.00,$0.20,—,—,607,1.30,vertex-maas,Vertex Model Garden publishers/xai/models/grok-4.20-non-reasoning; flagship non-reasoning
xAI,Text,—,xai/grok-4.20-reasoning,Grok 4.20 Reasoning (Vertex),2M,$2.00,$6.00,$0.20,—,—,607,1.30,vertex-maas,Vertex Model Garden publishers/xai/models/grok-4.20-reasoning; flagship reasoning mode
xAI,Text,—,xai/grok-4.1-fast-non-reasoning,Grok 4.1 Fast (Vertex),2M,$0.20,$0.50,$0.05,—,—,480,1.30,vertex-maas,Vertex Model Garden publishers/xai/models/grok-4.1-fast-non-reasoning; cost-effective; agentic tool calling
xAI,Text,—,xai/grok-4.1-fast-reasoning,Grok 4.1 Fast Reasoning (Vertex),2M,$0.20,$0.50,$0.05,—,—,480,1.30,vertex-maas,Vertex Model Garden publishers/xai/models/grok-4.1-fast-reasoning; cost-effective reasoning; τ²-bench Telecom
# ── OpenAI (25% margin; requires openai pack) ─────────────────────────────────
# Note: All OpenAI text models support Flex/Batch tier (0.5× price) and Priority tier (2× price)
OpenAI,Text,—,gpt-5.4,GPT-5.4,1M,$2.50,$15.00,$0.25,—,—,500,1.25,cloud-run-egress,Reasoning model; >272K: $5.00/$22.50 input/output; drop-in replacement for gpt-5.2
OpenAI,Text,—,gpt-5.4-pro,GPT-5.4 Pro,1M,$30.00,$180.00,—,—,—,500,1.25,cloud-run-egress,>272K: $60.00/$270.00 input/output
OpenAI,Text,—,gpt-5.4-mini,GPT-5.4 Mini,400K,$0.75,$4.50,$0.075,—,—,500,1.25,cloud-run-egress,128K max output; cutoff Aug 31 2025
OpenAI,Text,—,gpt-5.4-nano,GPT-5.4 Nano,400K,$0.20,$1.25,$0.02,—,—,500,1.25,cloud-run-egress,Cheapest GPT-5.4 class; 128K max output; cutoff Aug 31 2025
OpenAI,Text,—,gpt-5.2,GPT-5.2,1M,$1.75,$14.00,$0.175,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5.3-chat-latest,GPT-5.3 Chat,1M,$1.75,$14.00,$0.175,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5.2-codex,GPT-5.2 Codex,1M,$1.75,$14.00,$0.175,—,—,500,1.25,cloud-run-egress,Code-optimised variant
OpenAI,Text,—,gpt-5.3-codex,GPT-5.3 Codex,1M,$1.75,$14.00,$0.175,—,—,500,1.25,cloud-run-egress,Code-optimised variant
OpenAI,Text,—,gpt-5.2-pro,GPT-5.2 Pro,1M,$21.00,$168.00,—,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5,GPT-5,1M,$1.25,$10.00,$0.125,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5-codex,GPT-5 Codex,1M,$1.25,$10.00,$0.125,—,—,500,1.25,cloud-run-egress,Code-optimised variant
OpenAI,Text,—,gpt-5.1-codex,GPT-5.1 Codex,1M,$1.25,$10.00,$0.125,—,—,500,1.25,cloud-run-egress,Code-optimised variant
OpenAI,Text,—,gpt-5.1-codex-max,GPT-5.1 Codex Max,1M,$1.25,$10.00,$0.125,—,—,500,1.25,cloud-run-egress,Code-optimised variant; extended
OpenAI,Text,—,gpt-5-pro,GPT-5 Pro,1M,$15.00,$120.00,—,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5-mini,GPT-5 Mini,1M,$0.25,$2.00,$0.025,—,—,10000,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5-nano,GPT-5 Nano,1M,$0.05,$0.40,$0.005,—,—,30000,1.25,cloud-run-egress,
OpenAI,Image,openai_dalle3,dall-e-3,DALL-E 3,—,—,—,—,$0.04,per image,50,1.25,cloud-run-egress,1024×1024: std $0.04/HD $0.08; 1024×1792/1792×1024: std $0.08/HD $0.12
OpenAI,Image,openai_gpt_image1_mini,gpt-image-1-mini,GPT-Image 1 Mini,—,$2.00,$8.00,$0.20,—,—,50,1.25,cloud-run-egress,Token-based; cost-effective option; ~55-78% cheaper than GPT-Image 1
OpenAI,Image,openai_gpt_image1,gpt-image-1,GPT-Image 1,—,$10.00,$40.00,$2.50,—,—,50,1.25,cloud-run-egress,Token-based; 1024²: low $0.011/med $0.042/high $0.167; 1024×1536: low $0.016/med $0.063/high $0.25
OpenAI,Image,openai_gpt_image15,gpt-image-1.5,GPT-Image 1.5,—,$8.00,$32.00,$2.00,—,—,50,1.25,cloud-run-egress,Token-based; 1024²: low $0.009/med $0.034/high $0.133; 1024×1536: low $0.013/med $0.05/high $0.20
OpenAI,Image,openai_chatgpt_image,chatgpt-image-latest,ChatGPT Image,—,$8.00,$32.00,$2.00,—,—,50,1.25,cloud-run-egress,Token-based; same pricing as GPT-Image 1.5; alias for gpt-image-1.5
OpenAI,Image Edit,gpt_image,gpt-image-1,GPT-Image Edit,—,$10.00,$40.00,$2.50,—,—,50,1.25,cloud-run-egress,Image editing in editor view; token-based; same tiers as GPT-Image 1
OpenAI,Video,sora,sora-2,Sora 2,—,—,—,—,$0.10,per second,10,1.25,cloud-run-egress,720p default
OpenAI,Video,sora_pro,sora-2-pro,Sora 2 Pro,—,—,—,—,$0.30,per second,10,1.25,cloud-run-egress,720p $0.30/s; 1024×1792/1792×1024 $0.50/s
OpenAI,TTS,openai_tts,openai-tts-1,TTS-1,—,—,—,—,$15.00,per 1M chars,50,1.25,cloud-run-egress,Standard quality
OpenAI,TTS,openai_tts_hd,openai-tts-1-hd,TTS-1 HD,—,—,—,—,$30.00,per 1M chars,50,1.25,cloud-run-egress,High quality
OpenAI,TTS,openai_gpt4o_tts,gpt-4o-mini-tts,GPT-4o Mini TTS,—,$0.60,$12.00,—,—,—,50,1.25,cloud-run-egress,Text input $0.60/1M; audio output $12.00/1M; ~$0.015/min
OpenAI,STT,whisper_1,whisper-1,Whisper-1,—,—,—,—,$0.006,per minute,50,1.25,cloud-run-egress,Speech to text
OpenAI,STT,openai_4o_transcribe,gpt-4o-transcribe,GPT-4o Transcribe,—,$6.00,$10.00,—,—,—,—,1.25,cloud-run-egress,Audio input $6.00/1M; text input $2.50/1M; text output $10.00/1M; ~$0.006/min
OpenAI,STT,openai_4o_transcribe_diarize,gpt-4o-transcribe-diarize,GPT-4o Transcribe Diarize,—,$6.00,$10.00,—,—,—,—,1.25,cloud-run-egress,Audio input $6.00/1M; text input $2.50/1M; text output $10.00/1M; ~$0.006/min; speaker diarization
OpenAI,STT,openai_4o_mini_transcribe,gpt-4o-mini-transcribe,GPT-4o Mini Transcribe,—,$3.00,$5.00,—,—,—,—,1.25,cloud-run-egress,Audio input $3.00/1M; text input $1.25/1M; text output $5.00/1M; ~$0.003/min
OpenAI,Realtime,openai_realtime,gpt-realtime,GPT Realtime,—,$32.00,$64.00,$0.40,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Realtime,openai_realtime_15,gpt-realtime-1.5,GPT Realtime 1.5,—,$32.00,$64.00,$0.40,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Realtime,openai_realtime_mini,gpt-realtime-mini,GPT Realtime Mini,—,$10.00,$20.00,$0.30,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Realtime,openai_4o_realtime,gpt-4o-realtime-preview,GPT-4o Realtime,—,$40.00,$80.00,$2.50,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Realtime,openai_4o_mini_realtime,gpt-4o-mini-realtime-preview,GPT-4o Mini Realtime,—,$10.00,$20.00,$0.30,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Audio,openai_audio,gpt-audio,GPT Audio,—,$32.00,$64.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Audio,openai_audio_15,gpt-audio-1.5,GPT Audio 1.5,—,$32.00,$64.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Audio,openai_audio_mini,gpt-audio-mini,GPT Audio Mini,—,$10.00,$20.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Audio,openai_4o_audio,gpt-4o-audio-preview,GPT-4o Audio,—,$40.00,$80.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Audio,openai_4o_mini_audio,gpt-4o-mini-audio-preview,GPT-4o Mini Audio,—,$10.00,$20.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Embedding,openai_embed_small,text-embedding-3-small,Text Embedding 3 Small,—,$0.02,—,—,—,—,—,1.25,cloud-run-egress,Batch: $0.01/1M
OpenAI,Embedding,openai_embed_large,text-embedding-3-large,Text Embedding 3 Large,—,$0.13,—,—,—,—,—,1.25,cloud-run-egress,Batch: $0.065/1M
OpenAI,Embedding,openai_embed_ada,text-embedding-ada-002,Text Embedding Ada 002,—,$0.10,—,—,—,—,—,1.25,cloud-run-egress,Legacy; batch: $0.05/1M
OpenAI,Structured,openai_structured,gpt-4o,GPT-4o Structured,—,—,—,—,—,—,—,1.00,cloud-run-egress,Used in structured output panel
# ── Google (25% margin; requires google pack) ─────────────────────────────────
Google,Text,—,gemini-2.5-pro,Gemini 2.5 Pro,1M,$1.25,$10.00,$0.125,—,—,360,1.25,google-genai,>200k: $2.50/$15.00/$0.25 per 1M
Google,Text,—,gemini-2.5-flash,Gemini 2.5 Flash,1M,$0.30,$2.50,$0.030,—,—,2000,1.25,google-genai,Audio input $1.00/1M; audio cached $0.10/1M
Google,Text,—,gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,1M,$0.10,$0.40,$0.010,—,—,—,1.25,google-genai,Audio input $0.30/1M; audio cached $0.03/1M; smallest/most cost-effective
Google,Text,—,gemini-3-flash-preview,Gemini 3 Flash Preview,1M,$0.50,$3.00,$0.05,—,—,2000,1.25,google-genai,Preview
Google,Text,—,gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,1M,$2.00,$12.00,$0.20,—,—,—,1.25,google-genai,Preview; >200k: $4/$18/$0.40 per 1M
Google,Text,—,gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro Preview (Custom Tools),1M,$2.00,$12.00,$0.20,—,—,—,1.25,google-genai,Preview; custom tools variant; >200k: $4/$18/$0.40 per 1M
Google,Text,—,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite Preview,1M,$0.25,$1.50,$0.025,—,—,—,1.25,google-genai,Preview; most cost-efficient; high-volume agentic tasks
